Year,Community Area,Crimes
2001,,481635
2001,1,56
2001,2,41
2001,3,71
2001,4,33
2001,5,25
2001,6,52
2001,7,57
2001,8,95
2001,9,4
2001,10,11
2001,11,18
2001,12,6
2001,13,18
2001,14,39
2001,15,51
2001,16,51
2001,17,30
2001,18,11
2001,19,95
2001,20,33
2001,21,59
2001,22,130
2001,23,228
2001,24,122
2001,25,282
2001,26,108
2001,27,112
2001,28,101
2001,29,147
2001,30,78
2001,31,43
2001,32,86
2001,33,36
2001,34,15
2001,35,40
2001,36,8
2001,37,8
2001,38,54
2001,39,24
2001,40,28
2001,41,33
2001,42,49
2001,43,116
2001,44,76
2001,45,13
2001,46,77
2001,47,6
2001,48,24
2001,49,84
2001,50,18
2001,51,25
2001,52,13
2001,53,55
2001,54,14
2001,55,10
2001,56,39
2001,57,14
2001,58,46
2001,59,17
2001,60,22
2001,61,73
2001,62,11
2001,63,43
2001,64,25
2001,65,29
2001,66,82
2001,67,83
2001,68,103
2001,69,82
2001,70,38
2001,71,96
2001,72,19
2001,73,45
2001,74,10
2001,75,25
2001,76,33
2001,77,48
2002,,133160
2002,0,6
2002,1,6106
2002,2,4048
2002,3,6039
2002,4,2616
2002,5,2411
2002,6,6587
2002,7,6035
2002,8,12546
2002,9,323
2002,10,1466
2002,11,1440
2002,12,618
2002,13,1156
2002,14,3201
2002,15,4651
2002,16,4192
2002,17,2298
2002,18,924
2002,19,6399
2002,20,2105
2002,21,3606
2002,22,8918
2002,23,11235
2002,24,12341
2002,25,21112
2002,26,5595
2002,27,6358
2002,28,10853
2002,29,8719
2002,30,5917
2002,31,3546
2002,32,7292
2002,33,2744
2002,34,1356
2002,35,5346
2002,36,868
2002,37,1295
2002,38,6553
2002,39,2020
2002,40,3801
2002,41,2559
2002,42,5816
2002,43,10835
2002,44,6684
2002,45,1638
2002,46,6041
2002,47,470
2002,48,1758
2002,49,8800
2002,50,1358
2002,51,2129
2002,52,1719
2002,53,5540
2002,54,1995
2002,55,722
2002,56,3620
2002,57,1163
2002,58,3379
2002,59,1590
2002,60,2422
2002,61,7813
2002,62,1359
2002,63,3090
2002,64,1452
2002,65,2677
2002,66,8134
2002,67,10186
2002,68,9543
2002,69,7910
2002,70,3003
2002,71,8977
2002,72,1447
2002,73,4012
2002,74,831
2002,75,2768
2002,76,1731
2002,77,3771
2003,,48
2003,0,8
2003,1,7684
2003,2,5235
2003,3,7522
2003,4,3271
2003,5,3277
2003,6,8806
2003,7,7947
2003,8,15470
2003,9,427
2003,10,2086
2003,11,1868
2003,12,841
2003,13,1473
2003,14,4434
2003,15,6508
2003,16,5495
2003,17,3078
2003,18,1287
2003,19,8599
2003,20,3092
2003,21,4805
2003,22,11366
2003,23,15493
2003,24,15388
2003,25,30834
2003,26,7420
2003,27,9179
2003,28,15807
2003,29,12348
2003,30,7546
2003,31,5000
2003,32,9570
2003,33,3984
2003,34,1725
2003,35,6517
2003,36,893
2003,37,1937
2003,38,8571
2003,39,2936
2003,40,5243
2003,41,3307
2003,42,8059
2003,43,14629
2003,44,9369
2003,45,2298
2003,46,8380
2003,47,681
2003,48,2463
2003,49,11688
2003,50,2010
2003,51,2875
2003,52,2557
2003,53,7291
2003,54,2346
2003,55,1066
2003,56,4467
2003,57,1632
2003,58,4885
2003,59,2084
2003,60,3241
2003,61,10822
2003,62,1797
2003,63,4272
2003,64,1948
2003,65,3534
2003,66,11204
2003,67,13919
2003,68,12546
2003,69,10905
2003,70,3814
2003,71,12300
2003,72,1721
2003,73,5084
2003,74,1129
2003,75,3575
2003,76,2218
2003,77,4787
2004,,66
2004,0,16
2004,1,7609
2004,2,5757
2004,3,7445
2004,4,3358
2004,5,3134
2004,6,8653
2004,7,7308
2004,8,15759
2004,9,400
2004,10,1894
2004,11,1707
2004,12,775
2004,13,1509
2004,14,3801
2004,15,5928
2004,16,5160
2004,17,2801
2004,18,1036
2004,19,8144
2004,20,2842
2004,21,4827
2004,22,10652
2004,23,14541
2004,24,14155
2004,25,29486
2004,26,7880
2004,27,9191
2004,28,14768
2004,29,13369
2004,30,7892
2004,31,4762
2004,32,9307
2004,33,4357
2004,34,1652
2004,35,6846
2004,36,904
2004,37,1521
2004,38,7655
2004,39,2737
2004,40,5238
2004,41,3248
2004,42,8119
2004,43,14374
2004,44,9464
2004,45,2393
2004,46,8883
2004,47,735
2004,48,2552
2004,49,11808
2004,50,1920
2004,51,2636
2004,52,2408
2004,53,7888
2004,54,2258
2004,55,1003
2004,56,4521
2004,57,1619
2004,58,4723
2004,59,2080
2004,60,3127
2004,61,10117
2004,62,1714
2004,63,3901
2004,64,1912
2004,65,3560
2004,66,10976
2004,67,14120
2004,68,12959
2004,69,11592
2004,70,3962
2004,71,13148
2004,72,1743
2004,73,5334
2004,74,1097
2004,75,3635
2004,76,2095
2004,77,4897
2005,,54
2005,0,3
2005,1,7530
2005,2,5841
2005,3,7543
2005,4,3374
2005,5,2990
2005,6,7740
2005,7,6618
2005,8,14643
2005,9,461
2005,10,1748
2005,11,1610
2005,12,873
2005,13,1600
2005,14,3920
2005,15,5855
2005,16,5163
2005,17,2653
2005,18,1006
2005,19,8367
2005,20,2641
2005,21,4356
2005,22,9436
2005,23,14800
2005,24,12866
2005,25,28376
2005,26,8428
2005,27,8317
2005,28,13213
2005,29,12737
2005,30,7518
2005,31,4230
2005,32,8953
2005,33,4701
2005,34,1703
2005,35,6843
2005,36,880
2005,37,1392
2005,38,6404
2005,39,2907
2005,40,5183
2005,41,3286
2005,42,7873
2005,43,14425
2005,44,9651
2005,45,2384
2005,46,8285
2005,47,715
2005,48,2339
2005,49,11675
2005,50,1820
2005,51,2523
2005,52,2291
2005,53,7937
2005,54,2008
2005,55,928
2005,56,4107
2005,57,1614
2005,58,4439
2005,59,1908
2005,60,3131
2005,61,9648
2005,62,1620
2005,63,4327
2005,64,1822
2005,65,3233
2005,66,11517
2005,67,13674
2005,68,12197
2005,69,11207
2005,70,4029
2005,71,12818
2005,72,1744
2005,73,5336
2005,74,1046
2005,75,3563
2005,76,2076
2005,77,5015
2006,,49
2006,0,12
2006,1,7207
2006,2,6052
2006,3,6806
2006,4,3285
2006,5,2822
2006,6,7842
2006,7,6665
2006,8,14222
2006,9,437
2006,10,1822
2006,11,1804
2006,12,786
2006,13,1558
2006,14,4092
2006,15,5445
2006,16,5067
2006,17,2487
2006,18,1004
2006,19,7883
2006,20,2740
2006,21,4168
2006,22,9599
2006,23,13714
2006,24,13013
2006,25,28894
2006,26,8414
2006,27,8615
2006,28,12147
2006,29,12079
2006,30,7437
2006,31,4336
2006,32,8731
2006,33,4435
2006,34,1631
2006,35,6181
2006,36,801
2006,37,1521
2006,38,6022
2006,39,2359
2006,40,5193
2006,41,2681
2006,42,7893
2006,43,14835
2006,44,9108
2006,45,2317
2006,46,8966
2006,47,668
2006,48,2359
2006,49,12273
2006,50,1691
2006,51,2571
2006,52,2203
2006,53,7660
2006,54,1619
2006,55,965
2006,56,4214
2006,57,1648
2006,58,4647
2006,59,2003
2006,60,2975
2006,61,10063
2006,62,1744
2006,63,4104
2006,64,1824
2006,65,3558
2006,66,11737
2006,67,13710
2006,68,12311
2006,69,10968
2006,70,4305
2006,71,12155
2006,72,1529
2006,73,5555
2006,74,952
2006,75,3639
2006,76,2519
2006,77,4723
2007,,158
2007,0,6
2007,1,6807
2007,2,5269
2007,3,6395
2007,4,2845
2007,5,2634
